item_name,item_price,sale_date
Muffin,3.5,2026-05-12
Pastry,4.5,2026-06-09
Pastry,4.5,2026-04-02
Muffin,3.5,2026-04-08
Sandwich,8.5,2026-04-07
Sandwich,8.5,2026-05-31
Chocolate,3.0,2026-06-20
Chocolate,3.0,2026-04-23
Pastry,4.5,2026-04-03
Sandwich,8.5,2026-05-24
Chocolate,3.0,2026-05-09
Pastry,4.5,2026-05-16
Pastry,4.5,2026-05-20
Muffin,3.5,2026-06-25
Sandwich,8.5,2026-06-10
Chocolate,3.0,2026-06-21
Muffin,3.5,2026-05-20
Pastry,4.5,2026-05-22
Chocolate,3.0,2026-06-07
Muffin,3.5,2026-04-24
Chocolate,3.0,2026-06-28
Cake,25.0,2026-05-20
Sandwich,8.5,2026-06-29
Chocolate,3.0,2026-05-04
Sandwich,8.5,2026-06-25
Pastry,4.5,2026-06-20
Sandwich,8.5,2026-06-13
Cake,25.0,2026-05-06
Muffin,3.5,2026-05-12
Pastry,4.5,2026-06-02
Pastry,4.5,2026-05-03
Pastry,4.5,2026-05-23
Muffin,3.5,2026-04-12
Muffin,3.5,2026-05-03
Sandwich,8.5,2026-04-12
Muffin,3.5,2026-04-18
Cake,25.0,2026-04-23
Muffin,3.5,2026-05-06
Sandwich,8.5,2026-06-23
Chocolate,3.0,2026-04-21
Chocolate,3.0,2026-06-01
Sandwich,8.5,2026-06-28
Pastry,4.5,2026-04-28
Pastry,4.5,2026-04-21
Pastry,4.5,2026-05-06
Sandwich,8.5,2026-04-18
Chocolate,3.0,2026-05-29
Cake,25.0,2026-04-29
Muffin,3.5,2026-05-17
Sandwich,8.5,2026-06-30
Pastry,4.5,2026-04-17
Sandwich,8.5,2026-06-07
Cake,25.0,2026-04-03
Chocolate,3.0,2026-04-30
Pastry,4.5,2026-05-25
Sandwich,8.5,2026-04-02
Muffin,3.5,2026-05-12
Pastry,4.5,2026-04-04
Muffin,3.5,2026-04-25
Pastry,4.5,2026-06-18
Pastry,4.5,2026-06-29
Cake,25.0,2026-05-25
Cake,25.0,2026-05-16
Muffin,3.5,2026-06-24
Pastry,4.5,2026-04-27
Chocolate,3.0,2026-05-02
Cake,25.0,2026-05-21
Cake,25.0,2026-06-23
Muffin,3.5,2026-04-17
Chocolate,3.0,2026-04-23
Cake,25.0,2026-06-01
Pastry,4.5,2026-04-13
Sandwich,8.5,2026-06-30
Cake,25.0,2026-06-02
Sandwich,8.5,2026-05-21
Muffin,3.5,2026-06-16
Muffin,3.5,2026-04-19
Pastry,4.5,2026-04-04
Pastry,4.5,2026-06-06
Cake,25.0,2026-05-02
Sandwich,8.5,2026-05-29
Sandwich,8.5,2026-05-18
Muffin,3.5,2026-06-06
Chocolate,3.0,2026-04-01
Pastry,4.5,2026-06-27
Pastry,4.5,2026-04-22
Pastry,4.5,2026-04-29
Muffin,3.5,2026-04-20
Pastry,4.5,2026-06-30
Chocolate,3.0,2026-06-05
Chocolate,3.0,2026-06-04
Sandwich,8.5,2026-04-29
Pastry,4.5,2026-05-11
Chocolate,3.0,2026-06-13
Sandwich,8.5,2026-04-07
Sandwich,8.5,2026-04-28
Chocolate,3.0,2026-06-19
Muffin,3.5,2026-05-02
